temperature        fluctuations  magnetization
       0.10              292827           0.47
       0.20                   0           1.00
       0.30                   0           1.00
       0.40                   0           1.00
       0.50                   0           1.00
       0.60                   0           1.00
       0.70                   2           1.00
       0.80                   9           1.00
       0.90                  23           1.00
       1.00                  61           1.00
       1.10                 111           1.00
       1.20                 206           1.00
       1.30                 307           0.99
       1.40                 510           0.99
       1.50                 729           0.99
       1.60                1087           0.98
       1.70                1393           0.97
       1.80                1929           0.96
       1.90                2611           0.94
       2.00                4005           0.91
       2.10                4773           0.87
       2.20                4428           0.81
       2.30                5927           0.56
       2.40                4819           0.26
