    temperature        fluctuations  magnetization
           9.50                 525           0.00
           9.90                 486          -0.00
           9.60                 502           0.00
           9.80                 476          -0.00
           9.30                 362           0.00
           9.00                 509          -0.00
          10.00                 495           0.01
           9.10                 533          -0.00
           9.40                 581           0.00
           9.70                 551           0.01
           9.20                 508           0.01
