    T                            dE              I                   X
 0.20                   39652.82488        0.99264     7930.5649759956
 0.30                       0.00000        1.00000        0.0000000000
 0.40                       0.00000        1.00000        0.0000000000
 0.50                       0.00000        1.00000        0.0000000000
 0.60                       0.31904        1.00000        0.1914240047
 0.70                       2.14162        0.99998        1.4991359971
 0.80                       8.22392        0.99992        6.5791359991
 0.90                      26.37822        0.99971       23.7403999977
 1.00                      58.73274        0.99927       58.7327359989
 1.10                     111.98714        0.99839      123.1858559959
 1.20                     201.28575        0.99701      241.5428960025
 1.30                     317.01150        0.99467      412.1149440035
 1.40                     511.34829        0.99152      715.8876000009
 1.50                     703.36303        0.98648     1055.0445440002
 1.60                    1101.63839        0.97914     1762.6214239970
 1.70                    1528.07679        0.96917     2597.7305440009
 1.80                    2014.99476        0.95588     3626.9905760027
 1.90                    2749.23584        0.93767     5223.5480959974
 2.00                    3964.16179        0.90821     7928.3235839978
 2.10                    5116.67717        0.86845    10745.0220640004
 2.20                    7901.73088        0.78509    17383.8079359997
 2.30                   12445.09359        0.51210    28623.7152639981
 2.40                    6726.81173        0.24568    16144.3481439985
 2.50                    5089.27670        0.10304    12723.1917439997
 2.60                    4463.26591        0.08284    11604.4913760005
 2.70                    4137.85692        0.07271    11172.2136959992
 2.80                    3678.66166        0.06808    10300.2526560007
 2.90                    3403.05981        0.05962     9868.8734559994
 3.00                    3144.32315        0.05239     9432.9694560003
 3.10                    2733.00686        0.04461     8472.3212640001
 3.20                    2679.26688        0.04536     8573.6540160002
 3.30                    2442.39860        0.04416     8059.9153760001
 3.40                    2340.84141        0.04159     7958.8607839998
 3.50                    2088.03382        0.03896     7308.1183839999
 3.60                    2057.32642        0.03972     7406.3751039999
 3.70                    1931.51861        0.03553     7146.6188639998
 3.80                    1814.01842        0.03376     6893.2700000005
 3.90                    1923.72831        0.03396     7502.5404000001
 4.00                    1796.05836        0.03363     7184.2334559998
