    temperature        fluctuations  magnetization      mag. susceptibility
           0.20                   0          -1.00                     0.00
           0.30                   0          -1.00                     0.00
           0.40                   0          -1.00                     0.00
           0.50                   0          -1.00                     0.00
           0.60                -800          -1.00                     0.00
           0.70               -2513          -1.00                     0.00
           0.80              -10791          -1.00                     0.00
           0.90               -9926          -1.00                     0.00
           1.00                 -62          -1.00                     0.00
           1.10               -6023          -1.00                     0.00
           1.20               -5261          -1.00                     0.00
           1.30               -1104          -0.99                     0.00
           1.40               -4401          -0.99                     0.00
           1.50               -1031          -0.99                     0.00
           1.60                -909          -0.98                     0.00
           1.70                 359          -0.97                     0.00
           1.80                 189          -0.96                     0.00
           1.90               -1929          -0.94                     0.00
           2.00                 564          -0.91                     0.00
           2.10                1982          -0.86                     0.00
           2.20                6614          -0.81                     0.00
           2.30                5644          -0.61                     0.01
           2.40                5205          -0.25                     0.01
           2.50                3794          -0.01                     0.02
           2.60                1422           0.00                     0.01
           2.70                3305           0.03                     0.01
           2.80                2247           0.01                     0.01
           2.90                2397           0.01                     0.00
           3.00                2768          -0.03                     0.00
           3.10                2660          -0.00                     0.00
           3.20                2260          -0.01                     0.00
           3.30                1326          -0.02                     0.00
           3.40                1871          -0.01                     0.00
           3.50                 844          -0.00                     0.00
           3.60                 979          -0.00                     0.00
           3.70                2011           0.01                     0.00
           3.80                1371           0.00                     0.00
           3.90                1063           0.00                     0.00

time: 01:44:39
