    T                            dE              I                   X
 0.10                       0.00000        1.00000        0.0000000000
 0.20                       0.00000        1.00000        0.0000000000
 0.30                       0.00000        1.00000        0.0000000000
 0.40                       0.00000        1.00000        0.0000000000
 0.50                       0.06397        1.00000        0.0319840014
 0.60                       0.15976        1.00000        0.0958559997
 0.70                       2.01086        0.99998        1.4076000042
 0.80                       9.06318        0.99991        7.2505440004
 0.90                      25.84568        0.99971       23.2611159980
 1.00                      60.23836        0.99926       60.2383640036
 1.10                     107.42426        0.99847      118.1666840017
 1.20                     198.73946        0.99700      238.4873560034
 1.30                     319.96972        0.99476      415.9606359974
 1.40                     484.66272        0.99130      678.5278040022
 1.50                     738.37951        0.98658     1107.5692640021
 1.60                    1017.34616        0.97944     1627.7538559958
 1.70                    1449.34886        0.96987     2463.8930560015
 1.80                    1974.78853        0.95644     3554.6193560027
 1.90                    2707.67821        0.93812     5144.5886040032
 2.00                    3520.47032        0.90926     7040.9406360015
 2.10                    4878.04171        0.86875    10243.8876000009
 2.20                    7467.49671        0.77824    16428.4927640017
 2.30                   10649.16800        0.39763    24493.0863999985
 2.40                    8096.37796        0.23076    19431.3071000017
 2.50                    5106.21568        0.13687    12765.5391959986
 2.60                    4388.35588        0.09688    11409.7252960010
 2.70                    3873.47916        0.08037    10458.3937239992
 2.80                    3587.80708        0.06408    10045.8598240009
 2.90                    3291.88952        0.06038     9546.4795999993
 3.00                    2829.16800        0.05417     8487.5039999997
 3.10                    2690.78879        0.05051     8341.4452440003
 3.20                    2621.20799        0.04969     8387.8655639994
 3.30                    2407.49497        0.04326     7944.7334040003
 3.40                    2155.27337        0.04010     7327.9294559998
 3.50                    2120.36659        0.03930     7421.2830560002
 3.60                    2089.93155        0.04040     7523.7535959999
 3.70                    1854.56882        0.03551     6861.9046239997
 3.80                    1901.81372        0.03453     7226.8921439997
 3.90                    1814.79705        0.03581     7077.7084760002
 4.00                    1661.01110        0.03187     6644.0444000002
